,Unnamed: 0,ID,OTAZKA,PEDAGOG,HODNOTA_CLOB_OCISTENO,LANG,token,lemma,pos,DetectSentiment,SENTIMENT,lemma_cleaned,token_cleaned,pos_cleaned
2825,2825,1023460,56,,"Pro koncept předmětu není distanční výuka příliš vhodná, ale vzhledem k situaci bylo řešení (úkoly, zoom meetingy s rozdělením do skupin a hraní her, možnost online prezentace aktualit, ...) vyhovující. ",['cs'],"['The' 'concept' 'of' 'distance' 'learning' 'is' 'not' 'very' 'suitable'
 ',' 'but' 'given' 'the' 'situation' ',' 'the' 'solution' 'was' '('
 'tasks' ',' 'zoom' 'meetings' 'with' 'division' 'into' 'groups' 'and'
 'playing']","['concept' 'distance' 'learn' 'suitable' ',' 'situation' ',' 'solution'
 '(' 'task' ',' 'zoom' 'meetings' 'division' 'group' 'play']","['DET' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'AUX' 'PART' 'ADV' 'ADJ' 'PUNCT' 'CCONJ'
 'VERB' 'DET' 'NOUN' 'PUNCT' 'DET' 'NOUN' 'AUX' 'PUNCT' 'NOUN' 'PUNCT'
 'NOUN' 'NOUN' 'ADP' 'NOUN' 'ADP' 'NOUN' 'CCONJ' 'VERB']",negative,Positive,"concept distance learn suitable , situation , solution
 ( task , zoom meetings division group play","The concept of distance learning is not very suitable
 , but given the situation , the solution was (
 tasks , zoom meetings with division into groups and
 playing","DET NOUN ADP NOUN NOUN AUX PART ADV ADJ PUNCT CCONJ
 VERB DET NOUN PUNCT DET NOUN AUX PUNCT NOUN PUNCT
 NOUN NOUN ADP NOUN ADP NOUN CCONJ VERB"
2826,2826,1023606,45,,větší zátěž na seminární práci a menší důraz na závěrečný test,['cs'],"['greater' 'burden' 'on' 'seminar' 'work' 'and' 'less' 'emphasis' 'on'
 'final' 'test']",['great' 'burden' 'seminar' 'work' 'emphasis' 'final' 'test'],['ADJ' 'NOUN' 'ADP' 'ADJ' 'NOUN' 'CCONJ' 'ADJ' 'NOUN' 'ADP' 'ADJ' 'NOUN'],negative,Negative,great burden seminar work emphasis final test,"greater burden on seminar work and less emphasis on
 final test",ADJ NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP ADJ NOUN
2827,2827,1006563,47,,"Týdenní úkoly od pana Strossy opravdu pomohly k zvládnutí průběžných testů, jen mi přišlo, že by na ně mohlo být o trošičku více času (na ty testy).",['cs'],"['The' 'weekly' 'tasks' 'from' 'Mr' '.' 'Strossy' 'really' 'helped' 'to'
 'manage' 'the' 'ongoing' 'tests' ',' 'I' 'just' 'thought' 'there' 'might'
 'be' 'a' 'little' 'more' 'time' 'for' 'them' '(' 'for' 'the' 'tests' ').']","['weekly' 'task' 'Mr' '.' 'Strossy' 'help' 'manage' 'ongoing' 'test' ','
 'think' 'time' '(' 'test' ').']","['DET' 'ADJ' 'NOUN' 'ADP' 'PROPN' 'PUNCT' 'PROPN' 'ADV' 'VERB' 'PART'
 'VERB' 'DET' 'ADJ' 'NOUN' 'PUNCT' 'PRON' 'ADV' 'VERB' 'ADV' 'AUX' 'VERB'
 'DET' 'ADJ' 'ADJ' 'NOUN' 'ADP' 'PRON' 'PUNCT' 'ADP' 'DET' 'NOUN' 'PROPN']",negative,Positive,"weekly task Mr . Strossy help manage ongoing test ,
 think time ( test ).","The weekly tasks from Mr . Strossy really helped to
 manage the ongoing tests , I just thought there might
 be a little more time for them ( for the tests ).","DET ADJ NOUN ADP PROPN PUNCT PROPN ADV VERB PART
 VERB DET ADJ NOUN PUNCT PRON ADV VERB ADV AUX VERB
 DET ADJ ADJ NOUN ADP PRON PUNCT ADP DET NOUN PROPN"
2828,2828,1023854,54,,"V rámci celé vedlejší specializace Manažerská psychologie a sociologie se některá probíraná látka trochu překrývá, avšak pozitivním způsobem, kdy v každém předmětu je dané téma propojeno s trochu jiným kontextem a student dostane možnost se na látku podívat z více úhlů. ",['cs'],"['In' 'the' 'whole' 'of' 'the' 'secondary' 'specialization' 'of'
 'Management' 'Psychology' 'and' 'sociology' ',' 'some' 'of' 'the'
 'substance' 'under' 'discussion' 'overlaps' 'a' 'little' ',' 'but' 'in'
 'a' 'positive' 'way' ',' 'where' 'the' 'topic' 'is' 'connected' 'in'
 'each' 'subject']","['secondary' 'specialization' 'Management' 'Psychology' 'sociology' ','
 'substance' 'discussion' 'overlap' ',' 'positive' ',' 'topic' 'connect'
 'subject']","['ADP' 'DET' 'ADJ' 'ADP' 'DET' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'CCONJ'
 'NOUN' 'PUNCT' 'DET' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'DET' 'ADJ'
 'PUNCT' 'CCONJ' 'ADP' 'DET' 'ADJ' 'NOUN' 'PUNCT' 'ADV' 'DET' 'NOUN' 'AUX'
 'VERB' 'ADP' 'DET' 'NOUN']",negative,Neutral,"secondary specialization Management Psychology sociology ,
 substance discussion overlap , positive , topic connect
 subject","In the whole of the secondary specialization of
 Management Psychology and sociology , some of the
 substance under discussion overlaps a little , but in
 a positive way , where the topic is connected in
 each subject","ADP DET ADJ ADP DET ADJ NOUN ADP NOUN NOUN CCONJ
 NOUN PUNCT DET ADP DET NOUN ADP NOUN NOUN DET ADJ
 PUNCT CCONJ ADP DET ADJ NOUN PUNCT ADV DET NOUN AUX
 VERB ADP DET NOUN"
2829,2829,1023858,56,,"Přednášky byly plně nahrazeny zoom meetingy, kde byla možnost online prezentovat či diskutovat. Zároveň byla možnost offline vypracovaní a odevzdání reflexí. Pozvánka na přednášku byla vždy rozeslána v předstihu. U tohoto předmětu mi přišla distanční výuka naprosto plnohodnotná a necítila jsem se o nic ochuzena.",['cs'],"['The' 'lectures' 'were' 'fully' 'replaced' 'by' 'zoom' 'meetings' 'where'
 'it' 'was' 'possible' 'to' 'present' 'or' 'discuss' 'online' '.' 'At'
 'the' 'same' 'time' ',' 'there' 'was' 'an' 'option' 'to' 'unfold' 'and'
 'submit' 'reflexes' '.']","['lecture' 'fully' 'replace' 'zoom' 'meetings' 'present' 'discuss'
 'online' '.' 'time' ',' 'option' 'unfold' 'submit' 'reflex' '.']","['DET' 'NOUN' 'AUX' 'ADV' 'VERB' 'ADP' 'NOUN' 'NOUN' 'ADV' 'PRON' 'AUX'
 'ADJ' 'PART' 'VERB' 'CCONJ' 'VERB' 'ADV' 'PUNCT' 'ADP' 'DET' 'ADJ' 'NOUN'
 'PUNCT' 'PRON' 'VERB' 'DET' 'NOUN' 'ADP' 'ADJ' 'CCONJ' 'ADJ' 'NOUN'
 'PUNCT']",positive,Positive,"lecture fully replace zoom meetings present discuss
 online . time , option unfold submit reflex .","The lectures were fully replaced by zoom meetings where
 it was possible to present or discuss online . At
 the same time , there was an option to unfold and
 submit reflexes .","DET NOUN AUX ADV VERB ADP NOUN NOUN ADV PRON AUX
 ADJ PART VERB CCONJ VERB ADV PUNCT ADP DET ADJ NOUN
 PUNCT PRON VERB DET NOUN ADP ADJ CCONJ ADJ NOUN
 PUNCT"
2830,2830,1023859,47,,"Opravdu výborný předmět, který ačkoliv není nijak vědomostně nebo technicky náročný, považuji za velmi zajímavý a užitečný. ",['cs'],"['A' 'truly' 'excellent' 'subject' ',' 'which' ',' 'although' 'not'
 'knowledgeably' 'or' 'technically' 'demanding' ',' 'I' 'find' 'very'
 'interesting' 'and' 'useful' '.']","['excellent' 'subject' ',' ',' 'knowledgeably' 'technically' 'demand' ','
 'find' 'interest' '.']","['DET' 'ADV' 'ADJ' 'NOUN' 'PUNCT' 'PRON' 'PUNCT' 'SCONJ' 'ADV' 'ADV'
 'CCONJ' 'ADV' 'VERB' 'PUNCT' 'PRON' 'VERB' 'ADV' 'ADJ' 'CCONJ' 'ADJ'
 'PUNCT']",positive,Positive,"excellent subject , , knowledgeably technically demand ,
 find interest .","A truly excellent subject , which , although not
 knowledgeably or technically demanding , I find very
 interesting and useful .","DET ADV ADJ NOUN PUNCT PRON PUNCT SCONJ ADV ADV
 CCONJ ADV VERB PUNCT PRON VERB ADV ADJ CCONJ ADJ
 PUNCT"
2831,2831,1024442,45,,Vše bylo dostačující,['cs'],['All' 'was' 'sufficient'],['sufficient'],['DET' 'AUX' 'ADJ'],positive,Negative,sufficient,All was sufficient,DET AUX ADJ
2832,2832,1011787,56,,Insis test,['Unknown'],['Insis' 'test'],['Insis' 'test'],['PROPN' 'NOUN'],na'],Positive,Insis test,Insis test,PROPN NOUN
2833,2833,1011788,47,,Cvičení,['Unknown'],['Exercise'],['Exercise'],['PROPN'],na'],Positive,Exercise,Exercise,PROPN
2834,2834,1024836,54,,"V rámci celé vedlejší specializace Manažerská psychologie a sociologie se některá probíraná látka trochu překrývá, avšak pozitivním způsobem, kdy v každém předmětu je dané téma propojeno s trochu jiným kontextem a student dostane možnost se na látku podívat z více úhlů. ",['cs'],"['In' 'the' 'whole' 'of' 'the' 'secondary' 'specialization' 'of'
 'Management' 'Psychology' 'and' 'sociology' ',' 'some' 'of' 'the'
 'substance' 'under' 'discussion' 'overlaps' 'a' 'little' ',' 'but' 'in'
 'a' 'positive' 'way' ',' 'where' 'the' 'topic' 'is' 'connected' 'in'
 'each' 'subject']","['secondary' 'specialization' 'Management' 'Psychology' 'sociology' ','
 'substance' 'discussion' 'overlap' ',' 'positive' ',' 'topic' 'connect'
 'subject']","['ADP' 'DET' 'ADJ' 'ADP' 'DET' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'CCONJ'
 'NOUN' 'PUNCT' 'DET' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'DET' 'ADJ'
 'PUNCT' 'CCONJ' 'ADP' 'DET' 'ADJ' 'NOUN' 'PUNCT' 'ADV' 'DET' 'NOUN' 'AUX'
 'VERB' 'ADP' 'DET' 'NOUN']",negative,Neutral,"secondary specialization Management Psychology sociology ,
 substance discussion overlap , positive , topic connect
 subject","In the whole of the secondary specialization of
 Management Psychology and sociology , some of the
 substance under discussion overlaps a little , but in
 a positive way , where the topic is connected in
 each subject","ADP DET ADJ ADP DET ADJ NOUN ADP NOUN NOUN CCONJ
 NOUN PUNCT DET ADP DET NOUN ADP NOUN NOUN DET ADJ
 PUNCT CCONJ ADP DET ADJ NOUN PUNCT ADV DET NOUN AUX
 VERB ADP DET NOUN"
2835,2835,1024842,56,,"Zoom meetingy, možnost online prezentování a diskuze v chatu. ",['cs'],"['Zoom' 'meetings' ',' 'online' 'presentation' 'and' 'discussion' 'in'
 'the' 'chat' '.']","['Zoom' 'meetings' ',' 'online' 'presentation' 'discussion' 'chat' '.']","['PROPN' 'NOUN' 'PUNCT' 'ADJ' 'NOUN' 'CCONJ' 'NOUN' 'ADP' 'DET' 'NOUN'
 'PUNCT']",positive,Positive,"Zoom meetings , online presentation discussion chat .","Zoom meetings , online presentation and discussion in
 the chat .","PROPN NOUN PUNCT ADJ NOUN CCONJ NOUN ADP DET NOUN
 PUNCT"
2836,2836,1024846,57,,"Příliš úkolů - u všech předmětů byl podobný koncept (online výuka, minimálně 1 offline úkol týdně + další povinnosti jako prezentace, aktuality, seminární práce...), kdy pokud se student chtěl účastnit online přednášek a zároveň poctivě plnil úkoly, velmi dramaticky vzrostla časová náročnost studia s tím, že se často jednotlivé deadliny překrývaly... ",['cs'],"['Too' 'many' 'tasks' '-' 'for' 'all' 'subjects' 'there' 'was' 'a'
 'similar' 'concept' '(' 'online' 'teaching' ',' 'at' 'least' '1'
 'offline' 'task' 'per' 'week' '+' 'other' 'obligations' 'such' 'as'
 'presentation' ',' 'news' ',' 'seminar' 'work' '.' '.' '.' '),' 'when'
 'if']","['task' '-' 'subject' 'similar' 'concept' '(' 'online' 'teach' ',' '1'
 'offline' 'task' 'week' '+' 'obligation' 'presentation' ',' 'news' ','
 'seminar' 'work' '.' '.' '.' '),']","['ADV' 'ADJ' 'NOUN' 'PUNCT' 'ADP' 'DET' 'NOUN' 'PRON' 'VERB' 'DET' 'ADJ'
 'NOUN' 'PUNCT' 'ADV' 'NOUN' 'PUNCT' 'ADV' 'ADV' 'NUM' 'ADJ' 'NOUN' 'ADP'
 'NOUN' 'SYM' 'ADJ' 'NOUN' 'ADJ' 'ADP' 'NOUN' 'PUNCT' 'NOUN' 'PUNCT' 'ADJ'
 'NOUN' 'PUNCT' 'PUNCT' 'PUNCT' 'VERB' 'ADV' 'SCONJ']",negative,Negative,"task - subject similar concept ( online teach , 1
 offline task week + obligation presentation , news ,
 seminar work . . . ),","Too many tasks - for all subjects there was a
 similar concept ( online teaching , at least 1
 offline task per week + other obligations such as
 presentation , news , seminar work . . . ), when
 if","ADV ADJ NOUN PUNCT ADP DET NOUN PRON VERB DET ADJ
 NOUN PUNCT ADV NOUN PUNCT ADV ADV NUM ADJ NOUN ADP
 NOUN SYM ADJ NOUN ADJ ADP NOUN PUNCT NOUN PUNCT ADJ
 NOUN PUNCT PUNCT PUNCT VERB ADV SCONJ"
2837,2837,1026791,56,,mini testy byly dobrý nápad. studenti měli motivaci se víc připravovat na přednášky s vidinou zisku plusových bodů,['cs'],"['mini' 'tests' 'were' 'a' 'good' 'idea' '.' 'Students' 'had' 'the'
 'motivation' 'to' 'prepare' 'more' 'for' 'lectures' 'with' 'a' 'vision'
 'of' 'profit' 'plus' 'points']","['mini' 'test' 'good' 'idea' '.' 'Students' 'motivation' 'prepare'
 'lecture' 'vision' 'profit' 'point']","['ADJ' 'NOUN' 'AUX' 'DET' 'ADJ' 'NOUN' 'PUNCT' 'NOUN' 'VERB' 'DET' 'NOUN'
 'PART' 'VERB' 'ADJ' 'ADP' 'NOUN' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN' 'NOUN'
 'NOUN']",positive,Positive,"mini test good idea . Students motivation prepare
 lecture vision profit point","mini tests were a good idea . Students had the
 motivation to prepare more for lectures with a vision
 of profit plus points","ADJ NOUN AUX DET ADJ NOUN PUNCT NOUN VERB DET NOUN
 PART VERB ADJ ADP NOUN ADP DET NOUN ADP NOUN NOUN
 NOUN"
2838,2838,1026792,47,,kahoot byl skvělým zpestřením výuky ,['cs'],"['kahoot' 'was' 'a' 'great' 'way' 'to' 'make' 'teaching' 'more'
 'effective']",['kahoot' 'great' 'make' 'teach' 'effective'],['NOUN' 'AUX' 'DET' 'ADJ' 'NOUN' 'PART' 'VERB' 'VERB' 'ADJ' 'ADJ'],positive,Positive,kahoot great make teach effective,"kahoot was a great way to make teaching more
 effective",NOUN AUX DET ADJ NOUN PART VERB VERB ADJ ADJ
2839,2839,1014326,45,,"Nic, bylo to super!",['cs'],"['Nothing' ',' 'it' 'was' 'great' '!']","[',' 'great' '!']",['PRON' 'PUNCT' 'PRON' 'AUX' 'ADJ' 'PUNCT'],negative,Negative,", great !","Nothing , it was great !",PRON PUNCT PRON AUX ADJ PUNCT
2840,2840,1014328,54,,V ničem,['Unknown'],['Nothing' '.'],['.'],['PRON' 'PUNCT'],positive,Neutral,.,Nothing .,PRON PUNCT
2842,2842,1014333,56,,Možnost záznamu přednášek,['cs'],['Possibility' 'of' 'recording' 'lectures'],['Possibility' 'record' 'lecture'],['NOUN' 'SCONJ' 'VERB' 'NOUN'],negative,Positive,Possibility record lecture,Possibility of recording lectures,NOUN SCONJ VERB NOUN
2843,2843,1014336,57,,Počet úkolů za semestr,['cs'],['Number' 'of' 'tasks' 'per' 'semester'],['Number' 'task' 'semester'],['NOUN' 'ADP' 'NOUN' 'ADP' 'NOUN'],positive,Negative,Number task semester,Number of tasks per semester,NOUN ADP NOUN ADP NOUN
2844,2844,1008713,56,,Online konzultacne hodiny,['Unknown'],['Online' 'consultation' 'hours'],['Online' 'consultation' 'hour'],['ADJ' 'NOUN' 'NOUN'],na'],Positive,Online consultation hour,Online consultation hours,ADJ NOUN NOUN
2848,2848,1015833,45,,Nic,['Unknown'],['Nothing'],[],['PRON'],positive,Negative,,Nothing,PRON
2849,2849,1015839,54,,Nemohu úplně hodnotit,['cs'],"['I' ""can't"" 'fully' 'evaluate']",['fully' 'evaluate'],['PRON' 'VERB' 'ADV' 'ADJ'],positive,Neutral,fully evaluate,"I ""cant"" fully evaluate",PRON VERB ADV ADJ
2850,2850,1015846,56,,Styl zadávání úkolu,['cs'],['To-do' 'style'],['To-do' 'style'],['NUM' 'NOUN'],positive,Positive,To-do style,To-do style,NUM NOUN
2851,2851,1015848,47,,Styl výkladu pana Novotného a slečny Karkoškové,['cs'],"['The' 'style' 'of' 'interpretation' 'of' 'Mr' 'Novotný' 'and' 'Ms'
 'Karkošková']",['style' 'interpretation' 'Mr' 'Novotný' 'Ms' 'Karkošková'],['DET' 'NOUN' 'ADP' 'NOUN' 'ADP' 'PROPN' 'PROPN' 'CCONJ' 'PROPN' 'PROPN'],positive,Positive,style interpretation Mr Novotný Ms Karkošková,"The style of interpretation of Mr Novotný and Ms
 Karkošková",DET NOUN ADP NOUN ADP PROPN PROPN CCONJ PROPN PROPN
2852,2852,1015850,57,,Zadávání až moc úkolů,['cs'],['Engaging' 'Too' 'Much' 'To-do'],['Engaging' 'To-do'],['VERB' 'ADV' 'ADJ' 'PROPN'],positive,Negative,Engaging To-do,Engaging Too Much To-do,VERB ADV ADJ PROPN
2854,2854,1011792,57,,Nic,['Unknown'],['Nothing'],[],['PRON'],positive,Negative,,Nothing,PRON
2855,2855,1015077,54,,"IT Governance, který se překrývá se Základy managementu a Strategickou analýzou",['cs'],"['IT' 'Governance' ',' 'which' 'overlaps' 'with' 'the' 'Basics' 'of'
 'Management' 'and' 'Strategic' 'Analysis']","['Governance' ',' 'overlap' 'Basics' 'Management' 'Strategic' 'Analysis']","['PRON' 'PROPN' 'PUNCT' 'PRON' 'VERB' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN'
 'CCONJ' 'PROPN' 'PROPN']",negative,Neutral,"Governance , overlap Basics Management Strategic Analysis","IT Governance , which overlaps with the Basics of
 Management and Strategic Analysis","PRON PROPN PUNCT PRON VERB ADP DET NOUN ADP NOUN
 CCONJ PROPN PROPN"
2856,2856,1012415,45,,Těžko hodnotit vzhledem k distanční výuce.,['cs'],"[""It's"" 'hard' 'to' 'evaluate' 'given' 'distance' 'learning' '.']",['hard' 'evaluate' 'distance' 'learn' '.'],['PRON' 'ADJ' 'PART' 'VERB' 'VERB' 'NOUN' 'NOUN' 'PUNCT'],positive,Negative,hard evaluate distance learn .,"Its"" hard to evaluate given distance learning .",PRON ADJ PART VERB VERB NOUN NOUN PUNCT
2857,2857,1012421,47,,"Předmět je rozhodně zajímavý a přínosný, bohužel distanční výuka mu dosti ublížila.",['cs'],"['The' 'subject' 'is' 'definitely' 'interesting' 'and' 'beneficial' ','
 'unfortunately' 'distance' 'teaching' 'has' 'hurt' 'him' 'quite' 'a'
 'bit' '.']","['subject' 'interest' 'beneficial' ',' 'distance' 'teach' 'hurt' 'bit' '.']","['DET' 'NOUN' 'AUX' 'ADV' 'ADJ' 'CCONJ' 'ADJ' 'PUNCT' 'ADV' 'SCONJ' 'NOUN'
 'AUX' 'VERB' 'PRON' 'DET' 'DET' 'NOUN' 'PUNCT']",negative,Positive,"subject interest beneficial , distance teach hurt bit .","The subject is definitely interesting and beneficial ,
 unfortunately distance teaching has hurt him quite a
 bit .","DET NOUN AUX ADV ADJ CCONJ ADJ PUNCT ADV SCONJ NOUN
 AUX VERB PRON DET DET NOUN PUNCT"
2858,2858,1014334,47,,Styl výkladu,['cs'],['Interpretation' 'style'],['Interpretation' 'style'],['NOUN' 'NOUN'],positive,Positive,Interpretation style,Interpretation style,NOUN NOUN
2859,2859,1056891,47,,Zvaní hosté a diskuze s nimi,['cs'],['Invited' 'guests' 'and' 'discussions' 'with' 'them'],['Invited' 'guest' 'discussion'],['VERB' 'NOUN' 'CCONJ' 'NOUN' 'ADP' 'PRON'],negative,Positive,Invited guest discussion,Invited guests and discussions with them,VERB NOUN CCONJ NOUN ADP PRON
2860,2860,1056894,57,,"Přednášky zcela odpadly. Očekával jsem, že budou realizovány online.",['cs'],"['The' 'lectures' 'completely' 'fell' 'off' '.' 'I' 'expected' 'them' 'to'
 'be' 'implemented' 'online' '.']",['lecture' 'completely' 'fall' '.' 'expect' 'implement' 'online' '.'],"['DET' 'NOUN' 'ADV' 'VERB' 'ADP' 'PUNCT' 'PRON' 'VERB' 'PRON' 'PART' 'AUX'
 'VERB' 'ADV' 'PUNCT']",positive,Negative,lecture completely fall . expect implement online .,"The lectures completely fell off . I expected them to
 be implemented online .","DET NOUN ADV VERB ADP PUNCT PRON VERB PRON PART AUX
 VERB ADV PUNCT"
2861,2861,1037056,45,,"Zkoušky z teorie, která se behěm praxe neukáže. Snížil bych množství neužitečné teorie a nahradil ji třeba praktickýma domácíma úkolama.",['cs'],"['I' 'would' 'reduce' 'the' 'amount' 'of' 'useless' 'theory' 'and'
 'replace' 'it' 'with' 'practical' 'homework' '.']",['reduce' 'amount' 'useless' 'theory' 'replace' 'practical' 'homework' '.'],"['PRON' 'AUX' 'VERB' 'DET' 'NOUN' 'ADP' 'ADJ' 'NOUN' 'CCONJ' 'VERB' 'PRON'
 'ADP' 'ADJ' 'NOUN' 'PUNCT']",positive,Negative,reduce amount useless theory replace practical homework .,"I would reduce the amount of useless theory and
 replace it with practical homework .","PRON AUX VERB DET NOUN ADP ADJ NOUN CCONJ VERB PRON
 ADP ADJ NOUN PUNCT"
2862,2862,1037066,56,,#help skupina ve které se pomáhalo,['cs'],['#help' 'group' 'in' 'which' 'they' 'helped'],['#help' 'group' 'help'],['VERB' 'NOUN' 'ADP' 'PRON' 'PRON' 'VERB'],negative,Positive,#help group help,#help group in which they helped,VERB NOUN ADP PRON PRON VERB
2863,2863,1037068,47,,"Cvičení, zkoušky z praxe",['cs'],"['Exercise' ',' 'practical' 'exams']","['Exercise' ',' 'practical' 'exam']",['PROPN' 'PUNCT' 'ADJ' 'NOUN'],negative,Positive,"Exercise , practical exam","Exercise , practical exams",PROPN PUNCT ADJ NOUN
2864,2864,1037072,57,,Bez konzultačních hodin se mi špatně řešili některé věci.,['cs'],"['Without' 'consulting' 'hours' ',' 'I' 'had' 'a' 'hard' 'time' 'dealing'
 'with' 'things' '.']","['consult' 'hour' ',' 'hard' 'time' 'deal' 'thing' '.']","['SCONJ' 'VERB' 'NOUN' 'PUNCT' 'PRON' 'VERB' 'DET' 'ADJ' 'NOUN' 'VERB'
 'ADP' 'NOUN' 'PUNCT']",negative,Negative,"consult hour , hard time deal thing .","Without consulting hours , I had a hard time dealing
 with things .","SCONJ VERB NOUN PUNCT PRON VERB DET ADJ NOUN VERB
 ADP NOUN PUNCT"
2865,2865,1037329,45,,Citlivostní analýza a řešitel se proběhly moc rychle. Ale je možné že to bylo z nedostatku času.,['cs'],"['Sensitive' 'analysis' 'and' 'the' 'solver' 'were' 'going' 'too' 'fast'
 ',' 'but' ""it's"" 'possible' 'it' 'was' 'due' 'to' 'a' 'lack' 'of' 'time'
 '.']","['Sensitive' 'analysis' 'solver' 'fast' ',' 'due' 'lack' 'time' '.']","['ADJ' 'NOUN' 'CCONJ' 'DET' 'NOUN' 'AUX' 'VERB' 'ADV' 'ADJ' 'PUNCT'
 'CCONJ' 'PRON' 'ADJ' 'PRON' 'AUX' 'ADP' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN'
 'PUNCT']",negative,Negative,"Sensitive analysis solver fast , due lack time .","Sensitive analysis and the solver were going too fast
 , but ""its"" possible it was due to a lack of time
 .","ADJ NOUN CCONJ DET NOUN AUX VERB ADV ADJ PUNCT
 CCONJ PRON ADJ PRON AUX ADP ADP DET NOUN ADP NOUN
 PUNCT"
2866,2866,1037340,57,,Jak se některá látka probrala moc rychle,['cs'],['How' 'some' 'of' 'the' 'substances' 'woke' 'up' 'too' 'fast'],['substance' 'wake' 'fast'],['ADV' 'DET' 'ADP' 'DET' 'NOUN' 'VERB' 'ADP' 'ADV' 'ADJ'],positive,Negative,substance wake fast,How some of the substances woke up too fast,ADV DET ADP DET NOUN VERB ADP ADV ADJ
2867,2867,1037438,45,,Kdyby záverečný test byl více podle knížky.,['cs'],['If' 'the' 'final' 'test' 'were' 'more' 'by' 'the' 'book' '.'],['final' 'test' 'book' '.'],['SCONJ' 'DET' 'ADJ' 'NOUN' 'AUX' 'ADV' 'ADP' 'DET' 'NOUN' 'PUNCT'],negative,Negative,final test book .,If the final test were more by the book .,SCONJ DET ADJ NOUN AUX ADV ADP DET NOUN PUNCT
2868,2868,1037614,45,,V porovnání bylo moc teorie a málo praxe.,['cs'],"['Compared' 'to' 'the' 'theory' ',' 'there' 'was' 'little' 'practice' '.']","['Compared' 'theory' ',' 'practice' '.']",['VERB' 'ADP' 'DET' 'NOUN' 'PUNCT' 'PRON' 'VERB' 'ADJ' 'NOUN' 'PUNCT'],negative,Negative,"Compared theory , practice .","Compared to the theory , there was little practice .",VERB ADP DET NOUN PUNCT PRON VERB ADJ NOUN PUNCT
2869,2869,1037631,45,,"Větší přehlednost poskytovaných materiálů (přednášky, prezentace)",['cs'],"['More' 'clarity' 'of' 'materials' 'provided' '(' 'learn' 'lectures' ','
 'presentations' ')']","['clarity' 'material' 'provide' '(' 'learn' 'lecture' ',' 'presentation'
 ')']","['ADJ' 'NOUN' 'ADP' 'NOUN' 'VERB' 'PUNCT' 'VERB' 'NOUN' 'PUNCT' 'NOUN'
 'PUNCT']",positive,Negative,"clarity material provide ( learn lecture , presentation
 )","More clarity of materials provided ( learn lectures ,
 presentations )","ADJ NOUN ADP NOUN VERB PUNCT VERB NOUN PUNCT NOUN
 PUNCT"
2870,2870,1054307,56,,"Paní inženýrka Veselá byla aktivní, posílala pravidelně úkoly, které jsme měli po zpracování vložit do insisu. ",['cs'],"['Ms' '.' 'Engineer' 'Veselá' 'was' 'active' ',' 'sending' 'regular'
 'tasks' 'that' 'we' 'should' 'have' 'inserted' 'into' 'the' 'insis'
 'after' 'processing' '.']","['Ms' '.' 'Engineer' 'Veselá' 'active' ',' 'send' 'regular' 'task'
 'insert' 'insis' 'process' '.']","['PROPN' 'PUNCT' 'NOUN' 'NOUN' 'AUX' 'ADJ' 'PUNCT' 'VERB' 'ADJ' 'NOUN'
 'PRON' 'PRON' 'AUX' 'AUX' 'VERB' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN' 'PUNCT']",negative,Positive,"Ms . Engineer Veselá active , send regular task
 insert insis process .","Ms . Engineer Veselá was active , sending regular
 tasks that we should have inserted into the insis
 after processing .","PROPN PUNCT NOUN NOUN AUX ADJ PUNCT VERB ADJ NOUN
 PRON PRON AUX AUX VERB ADP DET NOUN ADP NOUN PUNCT"
2871,2871,1054308,47,,Odbornost vyučujících,['cs'],['Professionalism' 'of' 'teachers'],['Professionalism' 'teacher'],['NOUN' 'ADP' 'NOUN'],negative,Positive,Professionalism teacher,Professionalism of teachers,NOUN ADP NOUN
2872,2872,1054319,45,,"Učit více praktických věcí, než teorie, která byla na přednáškách.",['cs'],"['Teaching' 'more' 'practical' 'things' 'than' 'the' 'theory' 'that' 'was'
 'at' 'the' 'lectures' '.']",['Teaching' 'practical' 'thing' 'theory' 'lecture' '.'],"['VERB' 'ADJ' 'ADJ' 'NOUN' 'ADP' 'DET' 'NOUN' 'PRON' 'AUX' 'ADP' 'DET'
 'NOUN' 'PUNCT']",positive,Negative,Teaching practical thing theory lecture .,"Teaching more practical things than the theory that was
 at the lectures .","VERB ADJ ADJ NOUN ADP DET NOUN PRON AUX ADP DET
 NOUN PUNCT"
